epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,158.686,1.14273,0.5707,1.02379,0.70133,0.67528,0.72798,0.39322,1.6607,1.14127,1.2479,0.00114715,0.00114715,0.00114715
65,160.351,1.16361,0.5849,1.03189,0.71563,0.68849,0.74094,0.40109,1.63638,1.0956,1.24769,0.00113889,0.00113889,0.00113889
66,162.282,1.15891,0.5764,1.04458,0.70453,0.7306,0.75376,0.40561,1.64659,1.04302,1.25932,0.00113064,0.00113064,0.00113064
67,164.21,1.14615,0.56398,1.03449,0.73013,0.72562,0.76317,0.4068,1.65393,1.00905,1.26748,0.00112239,0.00112239,0.00112239
68,166.168,1.13334,0.58671,1.03623,0.70334,0.75582,0.77309,0.4153,1.63166,0.9854,1.25588,0.00111414,0.00111414,0.00111414
69,168.203,1.14503,0.56687,1.01916,0.71991,0.72621,0.77871,0.41687,1.64897,1.01176,1.25717,0.00110589,0.00110589,0.00110589
70,170.147,1.12484,0.56189,1.01139,0.78625,0.68435,0.77794,0.41438,1.66499,1.03297,1.2621,0.00109764,0.00109764,0.00109764
71,171.785,1.13858,0.57797,1.04754,0.74692,0.72257,0.77652,0.40906,1.65276,1.03458,1.25756,0.00108938,0.00108938,0.00108938
72,173.427,1.13697,0.56028,1.02685,0.71349,0.76544,0.77692,0.40868,1.65554,1.03106,1.26884,0.00108113,0.00108113,0.00108113
73,175.092,1.13479,0.57565,1.00081,0.7297,0.77151,0.78954,0.40791,1.68874,1.01781,1.29129,0.00107288,0.00107288,0.00107288
74,176.791,1.14096,0.5615,1.01115,0.72584,0.77949,0.79578,0.42149,1.65188,0.99631,1.26737,0.00106463,0.00106463,0.00106463
75,178.813,1.06228,0.53549,1.0105,0.71676,0.77386,0.78458,0.41752,1.63327,1.03616,1.25443,0.00105638,0.00105638,0.00105638
76,180.544,1.12298,0.54317,0.99789,0.7307,0.73885,0.77919,0.41521,1.62327,1.06199,1.25152,0.00104813,0.00104813,0.00104813
77,182.235,1.09651,0.57042,1.01001,0.78273,0.71772,0.79347,0.42529,1.63206,1.01299,1.25803,0.00103987,0.00103987,0.00103987
78,184.223,1.11853,0.5584,1.02066,0.78229,0.72028,0.79852,0.42549,1.66193,0.9954,1.27153,0.00103162,0.00103162,0.00103162
79,186.937,1.0939,0.53293,0.99492,0.76079,0.74236,0.7959,0.42588,1.66866,1.00484,1.26948,0.00102337,0.00102337,0.00102337
80,190.823,1.07105,0.53495,1.0005,0.78428,0.71292,0.79133,0.42129,1.66438,1.02799,1.26741,0.00101512,0.00101512,0.00101512
81,194.129,1.09046,0.53266,1.01455,0.75937,0.73479,0.78464,0.41542,1.68061,1.06299,1.27746,0.00100687,0.00100687,0.00100687
82,197.514,1.13767,0.5718,1.05754,0.77966,0.71426,0.78058,0.41205,1.68801,1.07264,1.27575,0.000998616,0.000998616,0.000998616
83,200.141,1.09634,0.55991,1.00926,0.78619,0.71899,0.77355,0.40167,1.71846,1.06658,1.29933,0.000990365,0.000990365,0.000990365
84,202.204,1.06737,0.537,1.0041,0.75176,0.74172,0.77196,0.39911,1.70883,1.05751,1.29341,0.000982113,0.000982113,0.000982113
85,204.149,1.10646,0.55494,1.03208,0.769,0.72615,0.77663,0.40923,1.66488,1.04736,1.26756,0.000973861,0.000973861,0.000973861
86,205.838,1.07201,0.52353,1.00427,0.77316,0.72053,0.77718,0.41382,1.66539,1.02912,1.26526,0.00096561,0.00096561,0.00096561
87,207.495,1.09326,0.5537,1.00633,0.78023,0.74436,0.78534,0.41559,1.68917,1.01864,1.28645,0.000957358,0.000957358,0.000957358
88,209.175,1.02212,0.50134,0.99735,0.77599,0.74064,0.78434,0.41537,1.67839,0.9921,1.28664,0.000949106,0.000949106,0.000949106
89,210.892,1.0593,0.52244,1.00825,0.75216,0.7621,0.77672,0.40927,1.67227,0.98957,1.28704,0.000940855,0.000940855,0.000940855
90,212.608,1.02536,0.51404,0.99341,0.75275,0.74668,0.77811,0.40787,1.66142,0.99441,1.27867,0.000932603,0.000932603,0.000932603
91,214.278,1.01755,0.49836,0.99748,0.74139,0.75421,0.78017,0.41291,1.67738,0.99761,1.2856,0.000924352,0.000924352,0.000924352
92,215.976,1.03649,0.52055,1.00294,0.75475,0.76614,0.80034,0.42319,1.68347,0.96734,1.29148,0.0009161,0.0009161,0.0009161
93,217.706,1.08148,0.51994,0.98674,0.77018,0.74865,0.7993,0.42222,1.68514,0.96567,1.29544,0.000907848,0.000907848,0.000907848
94,219.409,1.00309,0.51183,0.96887,0.76655,0.75803,0.79625,0.42152,1.67051,0.99115,1.28621,0.000899597,0.000899597,0.000899597
95,221.123,0.9889,0.48457,0.97255,0.76868,0.74125,0.79074,0.42097,1.65475,1.01794,1.27725,0.000891345,0.000891345,0.000891345
96,222.874,1.00616,0.49075,0.98783,0.77537,0.71206,0.78986,0.42283,1.65458,1.04481,1.27515,0.000883093,0.000883093,0.000883093
97,224.592,1.0483,0.52095,0.97988,0.71671,0.75858,0.77843,0.41501,1.68271,1.05981,1.294,0.000874842,0.000874842,0.000874842
98,226.414,1.02923,0.50213,0.98615,0.72517,0.75054,0.78153,0.41516,1.69724,1.06833,1.30268,0.00086659,0.00086659,0.00086659
99,228.207,0.99449,0.49642,0.96887,0.75207,0.73079,0.78324,0.4169,1.69563,1.06904,1.30524,0.000858338,0.000858338,0.000858338
100,229.872,1.0374,0.50203,0.97892,0.77804,0.71488,0.78846,0.42043,1.66666,1.06843,1.29123,0.000850087,0.000850087,0.000850087
101,232.685,1.03678,0.49366,0.96643,0.75613,0.73271,0.78293,0.4217,1.6463,1.07717,1.27973,0.000841835,0.000841835,0.000841835
102,235.451,0.97879,0.50344,0.98613,0.75845,0.71166,0.77067,0.41627,1.6426,1.08104,1.26924,0.000833583,0.000833583,0.000833583
103,237.32,0.99723,0.48855,0.96342,0.72606,0.72244,0.75485,0.40936,1.66007,1.0928,1.26937,0.000825332,0.000825332,0.000825332
104,239.125,0.98912,0.4853,0.95454,0.76536,0.69119,0.74523,0.40175,1.66271,1.09877,1.27313,0.00081708,0.00081708,0.00081708
105,240.776,0.94873,0.46855,0.96069,0.77963,0.6901,0.74881,0.40098,1.65191,1.10253,1.27338,0.000808828,0.000808828,0.000808828
106,244.24,0.95966,0.46373,0.96165,0.77669,0.70132,0.75516,0.40226,1.64137,1.09532,1.26687,0.000800577,0.000800577,0.000800577
107,245.978,0.98099,0.47651,0.96286,0.76076,0.69976,0.75519,0.40824,1.63377,1.09087,1.26158,0.000792325,0.000792325,0.000792325
108,251.931,0.97651,0.4729,0.97278,0.74554,0.71634,0.7536,0.40848,1.64453,1.09863,1.26358,0.000784073,0.000784073,0.000784073
109,254.076,1.03171,0.4952,0.9807,0.76048,0.70796,0.75406,0.40787,1.65658,1.11449,1.26901,0.000775822,0.000775822,0.000775822
110,255.767,1.01651,0.4943,0.97634,0.76558,0.70706,0.75389,0.40664,1.65091,1.13631,1.26512,0.00076757,0.00076757,0.00076757
111,257.517,0.96891,0.47019,0.94902,0.78001,0.6887,0.75787,0.40751,1.6576,1.13429,1.26725,0.000759318,0.000759318,0.000759318
112,259.159,0.97655,0.48017,0.99001,0.77617,0.70585,0.76603,0.40671,1.67179,1.1024,1.27296,0.000751067,0.000751067,0.000751067
113,260.808,0.97359,0.4632,0.96439,0.7769,0.70805,0.76819,0.40833,1.68977,1.0897,1.28353,0.000742815,0.000742815,0.000742815
114,262.999,0.93998,0.45984,0.95771,0.77349,0.71448,0.77026,0.40839,1.69293,1.07955,1.28836,0.000734564,0.000734564,0.000734564
115,264.717,0.95473,0.46859,0.96162,0.76361,0.7086,0.76486,0.40742,1.67969,1.06928,1.28554,0.000726312,0.000726312,0.000726312
116,266.432,0.94437,0.46652,0.95833,0.73547,0.73807,0.76757,0.40695,1.6807,1.06918,1.29021,0.00071806,0.00071806,0.00071806
117,271.233,0.96324,0.46911,0.97096,0.75125,0.723,0.76233,0.409,1.66899,1.07573,1.28173,0.000709809,0.000709809,0.000709809
118,273.517,0.96974,0.47275,0.95031,0.73892,0.74131,0.76552,0.41469,1.67432,1.07831,1.28448,0.000701557,0.000701557,0.000701557
119,275.194,0.94167,0.46239,0.9577,0.75029,0.7347,0.77108,0.4166,1.66215,1.08426,1.28144,0.000693305,0.000693305,0.000693305
120,276.872,0.94976,0.46066,0.96608,0.7657,0.71806,0.77479,0.41877,1.6533,1.09172,1.2796,0.000685054,0.000685054,0.000685054
121,278.524,0.96586,0.46706,0.96373,0.75144,0.73153,0.77199,0.41616,1.6423,1.09244,1.27588,0.000676802,0.000676802,0.000676802
122,280.179,0.92883,0.46538,0.97509,0.74125,0.74253,0.77066,0.41153,1.6504,1.07111,1.28386,0.00066855,0.00066855,0.00066855
123,281.906,0.95092,0.47306,0.95273,0.72786,0.7441,0.76401,0.4081,1.65487,1.06404,1.28851,0.000660299,0.000660299,0.000660299
124,283.593,0.92725,0.45532,0.95891,0.73492,0.73571,0.76206,0.41166,1.65483,1.05965,1.28945,0.000652047,0.000652047,0.000652047
125,285.217,0.94336,0.45549,0.96695,0.73595,0.73521,0.76147,0.40905,1.6529,1.05111,1.28749,0.000643795,0.000643795,0.000643795
126,286.911,0.99254,0.4757,0.95738,0.74166,0.74159,0.76291,0.41598,1.63507,1.02748,1.27649,0.000635544,0.000635544,0.000635544
127,288.558,0.93769,0.46363,0.94574,0.74563,0.76987,0.77881,0.42439,1.62569,0.99953,1.27181,0.000627292,0.000627292,0.000627292
128,290.243,0.97005,0.4705,0.96355,0.75246,0.76812,0.78662,0.43211,1.63279,0.97887,1.27998,0.00061904,0.00061904,0.00061904
129,292.165,0.90066,0.45382,0.93774,0.77128,0.75919,0.795,0.43424,1.64866,0.97142,1.29213,0.000610789,0.000610789,0.000610789
130,294.07,0.91942,0.45444,0.95729,0.78589,0.76265,0.80127,0.43787,1.65427,0.96527,1.29385,0.000602537,0.000602537,0.000602537
131,296.093,0.92508,0.4602,0.93793,0.8029,0.75513,0.806,0.4444,1.64531,0.96287,1.28124,0.000594286,0.000594286,0.000594286
132,298.31,0.86618,0.4342,0.93268,0.80514,0.74509,0.80426,0.44262,1.63984,0.97051,1.27648,0.000586034,0.000586034,0.000586034
133,300.467,0.86455,0.43371,0.93675,0.78581,0.75168,0.79637,0.4377,1.64535,0.98488,1.28263,0.000577782,0.000577782,0.000577782
134,302.151,0.922,0.44227,0.94238,0.80182,0.71884,0.79007,0.43357,1.64626,1.00272,1.28365,0.000569531,0.000569531,0.000569531
135,303.826,0.90567,0.44395,0.93575,0.76877,0.74086,0.78297,0.42647,1.6571,1.02466,1.28981,0.000561279,0.000561279,0.000561279
136,305.466,0.94115,0.46298,0.95627,0.76218,0.73087,0.77831,0.4217,1.65989,1.04264,1.29118,0.000553027,0.000553027,0.000553027
137,307.122,0.86887,0.43478,0.92687,0.76236,0.72597,0.7762,0.42499,1.64779,1.05683,1.27988,0.000544776,0.000544776,0.000544776
138,308.767,0.87662,0.44765,0.94212,0.76087,0.72582,0.77808,0.42577,1.65513,1.06814,1.28058,0.000536524,0.000536524,0.000536524
139,310.443,0.90225,0.44634,0.94127,0.75915,0.73043,0.78372,0.4269,1.66394,1.06056,1.28354,0.000528272,0.000528272,0.000528272
140,312.162,0.90585,0.44861,0.93795,0.75668,0.73361,0.78795,0.42481,1.68259,1.0533,1.29227,0.000520021,0.000520021,0.000520021
141,313.821,0.9076,0.46164,0.93731,0.78074,0.71295,0.78593,0.42321,1.688,1.04664,1.29523,0.000511769,0.000511769,0.000511769
142,315.457,0.88377,0.43344,0.92573,0.74381,0.74134,0.78689,0.42471,1.67439,1.04266,1.28594,0.000503517,0.000503517,0.000503517
143,317.162,0.89684,0.4425,0.93497,0.7333,0.74664,0.78652,0.42996,1.65037,1.0289,1.27457,0.000495266,0.000495266,0.000495266
144,318.826,0.87868,0.4464,0.93537,0.77066,0.70555,0.78404,0.42728,1.64376,1.01424,1.27222,0.000487014,0.000487014,0.000487014
145,320.493,0.94297,0.44878,0.9411,0.78117,0.70239,0.78427,0.42443,1.65568,1.00914,1.28108,0.000478762,0.000478762,0.000478762
